node   1  (   0,    0) (   3,    3) (   4,    4) (   2,    2) (   4,    2) (   4,    6) (   4,    8) (   4,    8) (   4,    6) (   4,    5)
          (   4,    5) (   4,    6) (   4,    5) (   4,    2) (   4,    4) (   4,    3) (   4,    6) (   4,    4) (   4,    4) (   4,    4)
          (   4,    4) (   4,    3) (   4,    5) (   4,    6) (   4,    1) (   4,    3) (   4,    4) (   4,    5) (   4,    3) (   4,    2)
          (   4,    5) (   4,    5) (   4,    7) (   4,    6) (   4,    4) (   4,    4) (   4,    3) (   4,    1) (   4,    2) (   4,    5)
          (   4,    2) (   4,    4) (   4,    3) (   4,    5) (   4,    6) (   4,    6) (   4,    4) (   4,    4) (   4,    6) (   4,    4)
          (   4,    8) (   4,    5) (   4,    5) (   4,    1) (   4,    2) (   4,    3) (   3,    3) (   3,    2) (   3,    5) (   4,    4)
          (   4,    2) (   4,    2) (   4,    4) (   4,    2) (   3,    4) (   3,    4) (   3,    3) (   4,    2) (   4,    4) (   3,    5)
          (   3,    3) (   4,    2) (   3,    4) (   4,    6) (   3,    6) (   4,    3) (   4,    4) (   4,    3) (   3,    6) (   4,    5)
          (   4,    6) (   3,    4) (   4,    1) (   3,    2) (   4,    4) (   4,    3) (   4,    4) (   4,    4) (   3,    5) (   4,    4)
          (   3,    3) (   4,    4) (   3,    4) (   4,    4) (   3,    1) (   3,    3) (   3,    3) (   4,    2) (   4,    1) (   3,    4)
          (   4,    4) (   4,    4) (   3,    2) (   4,    3) (   2,    1) (   4,    2) (   4,    3) (   4,    4) (   4,    3) (   4,    2)
          (   3,    2) (   3,    4) (   4,    3) (   4,    5) (   4,    3) (   4,    4) (   4,    4) (   3,    5) (   4,    2) (   4,    2)
          (   2,    4) (   2,    5) (   4,    4) (   3,    2) (   3,    3) (   4,    3) (   3,    2) (   3,    5) (   4,    6) (   4,    4)
          (   4,    4) (   4,    4) (   4,    5) (   3,    5) (   2,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    6)
          (   3,    1) (   4,    2) (   4,    5) (   4,    2) (   4,    3) (   3,    3) (   3,    3) (   3,    1) (   4,    2) (   3,    4)
          (   4,    6) (   4,    5) (   3,    5) (   2,    3) (   3,    5) (   4,    3) (   4,    3) (   3,    6) (   4,    4) (   3,    4)
          (   4,    6) (   4,    5) (   4,    2) (   2,    5) (   3,    3) (   4,    3) (   3,    5) (   4,    3) (   3,    4) (   4,    5)
          (   3,    2) (   3,    3) (   4,    5) (   4,    1) (   3,    2) (   3,    2) (   2,    3) (   3,    3) (   4,    3) (   4,    4)
          (   4,    5) (   4,    2) (   3,    4) (   4,    4) (   2,    4) (   4,    4) (   4,    5) (   3,    5) (   4,    4) (   4,    5)
          (   4,    3) (   4,    4) (   4,    3) (   4,    1) (   3,    4) (   4,    3) (   4,    3) (   3,    3) (   3,    6) (   3,    6)
          (   4,    2) (   4,    6) (   3,    3) (   4,    3) (   3,    3) (   3,    2) (   3,    2) (   4,    2) (   4,    3) (   2,    1)
          (   4,    3) (   4,    3) (   3,    5) (   4,    6) (   4,    5) (   4,    6) (   3,    3) (   3,    2) (   4,    5) (   4,    4)
          (   4,    2) (   4,    3) (   4,    5) (   4,    5) (   4,    4) (   4,    3) (   4,    5) (   3,    4) (   4,    3) (   4,    3)
          (   4,    3) (   4,    2) (   3,    2) (   4,    5) (   4,    4) (   4,    6) (   3,    7) (   4,    3) (   3,    4) (   3,    5)
          (   4,    3) (   2,    3) (   3,    1) (   4,    3) (   4,    1) (   4,    5) (   4,    4) (   4,    2) (   4,    6) (   4,    4)
          (   4,    6) (   4,    3) (   3,    4) (   4,    4) (   3,    3) (   4,    2) (   4,    4) (   3,    4) (   4,    6) (   4,    5)
          (   3,    3) (   4,    2) (   4,    3) (   3,    2) (   3,    0) (   2,    4) (   4,    5) (   3,    3) (   4,    3) (   4,    3)
          (   4,    6) (   3,    4) (   4,    1) (   4,    6) (   4,    4) (   4,    4) (   4,    3) (   4,    3) (   4,    2) (   3,    3)
          (   2,    3) (   3,    6) (   3,    2) (   4,    4) (   4,    5) (   4,    3) (   3,    4) (   4,    5) (   4,    6) (   4,    5)
          (   3,    6) (   4,    3) (   3,    4) (   3,    5) (   4,    5) (   3,    4) (   4,    3) (   4,    6) (   3,    1) (   4,    5)
          (   4,    1) (   4,    3) (   4,    3) (   4,    3) (   4,    3) (   4,    1) (   4,    2) (   4,    5) (   4,    2) (   4,    6)
          (   4,    6) (   4,    3) (   4,    3) (   4,    6) (   4,    4) (   4,    2) (   4,    3) (   4,    5) (   4,    6) (   4,    4)
          (   4,    4) (   4,    3) (   4,    2) (   4,    5) (   4,    4) (   4,    3) (   4,    3) (   4,    6) (   4,    4) (   4,    1)
          (   4,    4) (   4,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    2) (   4,    2) (   4,    3) (   4,    4) (   4,    4)
          (   4,    4) (   4,    6) (   4,    5) (   4,    2) (   4,    4) (   4,    6) (   4,    3) (   4,    6) (   4,    1) (   4,    2)
          (   4,    2) (   4,    3) (   4,    3) (   4,    6) (   4,    5) (   4,    4) (   4,    5) (   4,    3) (   4,    6) (   4,    4)
          (   4,    4) (   4,    6) (   4,    3) (   4,    3) (   4,    5) (   4,    6) (   4,    5) (   4,    3) (   4,    4) (   4,    5)
